symbol,funding_time,datetime_utc,datetime_kst,funding_rate,mark_price
XRPUSDT,1756684800000,2025-09-01 00:00:00,2025-09-01 09:00:00,0.0000199,
XRPUSDT,1756713600000,2025-09-01 08:00:00,2025-09-01 17:00:00,0.00009743,
XRPUSDT,1756742400001,2025-09-01 16:00:00,2025-09-02 01:00:00,0.00009251,
XRPUSDT,1756771200000,2025-09-02 00:00:00,2025-09-02 09:00:00,0.00007178,
XRPUSDT,1756800000005,2025-09-02 08:00:00,2025-09-02 17:00:00,0.0001,
XRPUSDT,1756828800007,2025-09-02 16:00:00,2025-09-03 01:00:00,0.0001,
XRPUSDT,1756857600006,2025-09-03 00:00:00,2025-09-03 09:00:00,0.00009115,
XRPUSDT,1756886400002,2025-09-03 08:00:00,2025-09-03 17:00:00,0.0001,
XRPUSDT,1756915200002,2025-09-03 16:00:00,2025-09-04 01:00:00,0.0000629,
XRPUSDT,1756944000002,2025-09-04 00:00:00,2025-09-04 09:00:00,0.00004218,
XRPUSDT,1756972800000,2025-09-04 08:00:00,2025-09-04 17:00:00,0.00002584,
XRPUSDT,1757001600000,2025-09-04 16:00:00,2025-09-05 01:00:00,0.00002409,
XRPUSDT,1757030400001,2025-09-05 00:00:00,2025-09-05 09:00:00,0.00003207,
XRPUSDT,1757059200006,2025-09-05 08:00:00,2025-09-05 17:00:00,0.00008936,
XRPUSDT,1757088000000,2025-09-05 16:00:00,2025-09-06 01:00:00,0.00005752,
XRPUSDT,1757116800000,2025-09-06 00:00:00,2025-09-06 09:00:00,0.00009833,
XRPUSDT,1757145600005,2025-09-06 08:00:00,2025-09-06 17:00:00,0.00003207,
XRPUSDT,1757174400000,2025-09-06 16:00:00,2025-09-07 01:00:00,0.00001238,
XRPUSDT,1757203200000,2025-09-07 00:00:00,2025-09-07 09:00:00,0.00002499,
XRPUSDT,1757232000000,2025-09-07 08:00:00,2025-09-07 17:00:00,0.0001,
XRPUSDT,1757260800000,2025-09-07 16:00:00,2025-09-08 01:00:00,0.0001,
XRPUSDT,1757289600007,2025-09-08 00:00:00,2025-09-08 09:00:00,0.0000722,
XRPUSDT,1757318400000,2025-09-08 08:00:00,2025-09-08 17:00:00,0.0001,
XRPUSDT,1757347200000,2025-09-08 16:00:00,2025-09-09 01:00:00,0.00008967,
XRPUSDT,1757376000000,2025-09-09 00:00:00,2025-09-09 09:00:00,0.0001,
XRPUSDT,1757404800000,2025-09-09 08:00:00,2025-09-09 17:00:00,0.0001,
XRPUSDT,1757433600000,2025-09-09 16:00:00,2025-09-10 01:00:00,0.0001,
XRPUSDT,1757462400000,2025-09-10 00:00:00,2025-09-10 09:00:00,0.00004492,
XRPUSDT,1757491200002,2025-09-10 08:00:00,2025-09-10 17:00:00,0.0001,
XRPUSDT,1757520000000,2025-09-10 16:00:00,2025-09-11 01:00:00,0.0001,
XRPUSDT,1757548800000,2025-09-11 00:00:00,2025-09-11 09:00:00,0.0001,
